fileId,url,size
1553429642,/archive/allData/6/MOD13A3/2000/061/MOD13A3.A2000061.h25v05.006.2015136111228.hdf,22376959
1553430174,/archive/allData/6/MOD13A3/2000/061/MOD13A3.A2000061.h25v03.006.2015136111229.hdf,18996628
1553433315,/archive/allData/6/MOD13A3/2000/061/MOD13A3.A2000061.h23v03.006.2015136111224.hdf,24092470
1553433808,/archive/allData/6/MOD13A3/2000/061/MOD13A3.A2000061.h24v04.006.2015136111222.hdf,22304594
1553434859,/archive/allData/6/MOD13A3/2000/061/MOD13A3.A2000061.h28v05.006.2015136111234.hdf,7376685
1553434964,/archive/allData/6/MOD13A3/2000/061/MOD13A3.A2000061.h26v05.006.2015136111233.hdf,22360883
1553436101,/archive/allData/6/MOD13A3/2000/061/MOD13A3.A2000061.h25v04.006.2015136111232.hdf,21094230
1553436880,/archive/allData/6/MOD13A3/2000/061/MOD13A3.A2000061.h27v04.006.2015136111222.hdf,14012698
1553437286,/archive/allData/6/MOD13A3/2000/061/MOD13A3.A2000061.h26v03.006.2015136111233.hdf,11085451
1553437512,/archive/allData/6/MOD13A3/2000/061/MOD13A3.A2000061.h27v05.006.2015136111226.hdf,17495253
1553437987,/archive/allData/6/MOD13A3/2000/061/MOD13A3.A2000061.h26v04.006.2015136111237.hdf,21627230
1553439896,/archive/allData/6/MOD13A3/2000/061/MOD13A3.A2000061.h22v03.006.2015136111229.hdf,23370873
1553452185,/archive/allData/6/MOD13A3/2000/061/MOD13A3.A2000061.h24v03.006.2015136111229.hdf,24044220
1554618068,/archive/allData/6/MOD13A3/2000/122/MOD13A3.A2000122.h22v03.006.2015137100538.hdf,21495552
1554618373,/archive/allData/6/MOD13A3/2000/092/MOD13A3.A2000092.h24v04.006.2015137035541.hdf,21741130
1554618574,/archive/allData/6/MOD13A3/2000/092/MOD13A3.A2000092.h22v03.006.2015137040121.hdf,21477512
1554618577,/archive/allData/6/MOD13A3/2000/122/MOD13A3.A2000122.h24v04.006.2015137095447.hdf,21665134
1554625432,/archive/allData/6/MOD13A3/2000/092/MOD13A3.A2000092.h26v03.006.2015137035325.hdf,10556298
1554625440,/archive/allData/6/MOD13A3/2000/122/MOD13A3.A2000122.h25v04.006.2015137095453.hdf,20899764
1554625441,/archive/allData/6/MOD13A3/2000/122/MOD13A3.A2000122.h28v05.006.2015137095453.hdf,7569853
1554625537,/archive/allData/6/MOD13A3/2000/092/MOD13A3.A2000092.h28v05.006.2015137040346.hdf,7404340
1554625548,/archive/allData/6/MOD13A3/2000/122/MOD13A3.A2000122.h26v03.006.2015137100256.hdf,10295586
1554625549,/archive/allData/6/MOD13A3/2000/122/MOD13A3.A2000122.h27v04.006.2015137095445.hdf,13798426
1554625622,/archive/allData/6/MOD13A3/2000/092/MOD13A3.A2000092.h25v05.006.2015137032607.hdf,22247818
1554625625,/archive/allData/6/MOD13A3/2000/122/MOD13A3.A2000122.h23v03.006.2015137100014.hdf,21864578
1554625626,/archive/allData/6/MOD13A3/2000/122/MOD13A3.A2000122.h25v03.006.2015137100300.hdf,17398905
1554626445,/archive/allData/6/MOD13A3/2000/092/MOD13A3.A2000092.h24v03.006.2015137034805.hdf,22980141
1554626446,/archive/allData/6/MOD13A3/2000/092/MOD13A3.A2000092.h26v05.006.2015137032530.hdf,22263537
1554626449,/archive/allData/6/MOD13A3/2000/092/MOD13A3.A2000092.h27v04.006.2015137041709.hdf,13545905
1554626450,/archive/allData/6/MOD13A3/2000/092/MOD13A3.A2000092.h27v05.006.2015137040301.hdf,17533935
1554626460,/archive/allData/6/MOD13A3/2000/122/MOD13A3.A2000122.h24v03.006.2015137100257.hdf,21925489
1554626462,/archive/allData/6/MOD13A3/2000/122/MOD13A3.A2000122.h25v05.006.2015137094938.hdf,22416951
1554626463,/archive/allData/6/MOD13A3/2000/122/MOD13A3.A2000122.h27v05.006.2015137095447.hdf,17884684
1554626550,/archive/allData/6/MOD13A3/2000/092/MOD13A3.A2000092.h23v03.006.2015137040457.hdf,22880398
1554626551,/archive/allData/6/MOD13A3/2000/092/MOD13A3.A2000092.h25v04.006.2015137032555.hdf,20492296
1554626552,/archive/allData/6/MOD13A3/2000/092/MOD13A3.A2000092.h26v04.006.2015137034952.hdf,20857869
1554626561,/archive/allData/6/MOD13A3/2000/122/MOD13A3.A2000122.h26v04.006.2015137100014.hdf,21700918
1554626562,/archive/allData/6/MOD13A3/2000/122/MOD13A3.A2000122.h26v05.006.2015137095444.hdf,22547040
1554626654,/archive/allData/6/MOD13A3/2000/092/MOD13A3.A2000092.h25v03.006.2015137035232.hdf,17541586
1555288660,/archive/allData/6/MOD13A3/2000/153/MOD13A3.A2000153.h27v04.006.2015138073403.hdf,13496606
1555289560,/archive/allData/6/MOD13A3/2000/153/MOD13A3.A2000153.h25v05.006.2015138073413.hdf,22497004
1555295309,/archive/allData/6/MOD13A3/2000/153/MOD13A3.A2000153.h28v05.006.2015138073348.hdf,7540749
1555295765,/archive/allData/6/MOD13A3/2000/153/MOD13A3.A2000153.h25v04.006.2015138073354.hdf,20764792
1555302306,/archive/allData/6/MOD13A3/2000/153/MOD13A3.A2000153.h24v04.006.2015138073400.hdf,21766185
1555305116,/archive/allData/6/MOD13A3/2000/153/MOD13A3.A2000153.h27v05.006.2015138073406.hdf,17975300
1555310191,/archive/allData/6/MOD13A3/2000/153/MOD13A3.A2000153.h23v03.006.2015138073509.hdf,20798182
1555310192,/archive/allData/6/MOD13A3/2000/153/MOD13A3.A2000153.h26v05.006.2015138073347.hdf,22488434
1555328261,/archive/allData/6/MOD13A3/2000/153/MOD13A3.A2000153.h25v03.006.2015138075116.hdf,16860977
1555330206,/archive/allData/6/MOD13A3/2000/153/MOD13A3.A2000153.h24v03.006.2015138073403.hdf,21160679
1555330207,/archive/allData/6/MOD13A3/2000/153/MOD13A3.A2000153.h26v03.006.2015138073349.hdf,9971377
1555336432,/archive/allData/6/MOD13A3/2000/153/MOD13A3.A2000153.h26v04.006.2015138073411.hdf,21619611
1555337564,/archive/allData/6/MOD13A3/2000/153/MOD13A3.A2000153.h22v03.006.2015138073443.hdf,20820297
1561858713,/archive/allData/6/MOD13A3/2000/183/MOD13A3.A2000183.h28v05.006.2015138080545.hdf,7566047
1561872566,/archive/allData/6/MOD13A3/2000/183/MOD13A3.A2000183.h27v04.006.2015138080540.hdf,13464303
1561874041,/archive/allData/6/MOD13A3/2000/183/MOD13A3.A2000183.h25v04.006.2015138080547.hdf,21046704
1561875046,/archive/allData/6/MOD13A3/2000/183/MOD13A3.A2000183.h26v05.006.2015138075045.hdf,22359091
1561875166,/archive/allData/6/MOD13A3/2000/183/MOD13A3.A2000183.h26v04.006.2015138082227.hdf,21604749
1561876955,/archive/allData/6/MOD13A3/2000/183/MOD13A3.A2000183.h25v05.006.2015138080546.hdf,22580017
1561879266,/archive/allData/6/MOD13A3/2000/183/MOD13A3.A2000183.h24v04.006.2015138080543.hdf,21851559
1561883959,/archive/allData/6/MOD13A3/2000/183/MOD13A3.A2000183.h27v05.006.2015138080544.hdf,17789256
1561886987,/archive/allData/6/MOD13A3/2000/183/MOD13A3.A2000183.h26v03.006.2015138082221.hdf,10017355
1561889093,/archive/allData/6/MOD13A3/2000/183/MOD13A3.A2000183.h24v03.006.2015138082231.hdf,21162830
1561895867,/archive/allData/6/MOD13A3/2000/183/MOD13A3.A2000183.h22v03.006.2015138082225.hdf,21115353
1561919951,/archive/allData/6/MOD13A3/2000/183/MOD13A3.A2000183.h25v03.006.2015138083408.hdf,16609255
1561936924,/archive/allData/6/MOD13A3/2000/183/MOD13A3.A2000183.h23v03.006.2015138082231.hdf,21136105
1562329865,/archive/allData/6/MOD13A3/2000/214/MOD13A3.A2000214.h25v05.006.2015138080531.hdf,22296180
1562338674,/archive/allData/6/MOD13A3/2000/214/MOD13A3.A2000214.h27v04.006.2015138080538.hdf,13339021
1562341569,/archive/allData/6/MOD13A3/2000/214/MOD13A3.A2000214.h24v03.006.2015138082227.hdf,20743652
1562347210,/archive/allData/6/MOD13A3/2000/214/MOD13A3.A2000214.h26v05.006.2015138082234.hdf,21962546
1562349010,/archive/allData/6/MOD13A3/2000/214/MOD13A3.A2000214.h25v04.006.2015138080539.hdf,20625995
1562352816,/archive/allData/6/MOD13A3/2000/214/MOD13A3.A2000214.h24v04.006.2015138082223.hdf,21470336
1562356100,/archive/allData/6/MOD13A3/2000/214/MOD13A3.A2000214.h26v03.006.2015138083543.hdf,9847343
1562356416,/archive/allData/6/MOD13A3/2000/214/MOD13A3.A2000214.h25v03.006.2015138082234.hdf,16419712
1562356521,/archive/allData/6/MOD13A3/2000/214/MOD13A3.A2000214.h22v03.006.2015138082232.hdf,20989727
1562358311,/archive/allData/6/MOD13A3/2000/214/MOD13A3.A2000214.h23v03.006.2015138082227.hdf,20548099
1562364211,/archive/allData/6/MOD13A3/2000/214/MOD13A3.A2000214.h27v05.006.2015138082222.hdf,17406404
1562365690,/archive/allData/6/MOD13A3/2000/214/MOD13A3.A2000214.h28v05.006.2015138082224.hdf,7519878
1562372903,/archive/allData/6/MOD13A3/2000/214/MOD13A3.A2000214.h26v04.006.2015138082224.hdf,21314623
1562408439,/archive/allData/6/MOD13A3/2000/245/MOD13A3.A2000245.h27v05.006.2015139075513.hdf,17278523
1562411130,/archive/allData/6/MOD13A3/2000/245/MOD13A3.A2000245.h26v04.006.2015139075106.hdf,21164595
1562412228,/archive/allData/6/MOD13A3/2000/245/MOD13A3.A2000245.h25v05.006.2015139075518.hdf,21907621
1562412330,/archive/allData/6/MOD13A3/2000/245/MOD13A3.A2000245.h25v04.006.2015139075517.hdf,20485126
1562412331,/archive/allData/6/MOD13A3/2000/245/MOD13A3.A2000245.h26v05.006.2015139075104.hdf,21859382
1562415322,/archive/allData/6/MOD13A3/2000/245/MOD13A3.A2000245.h28v05.006.2015139075522.hdf,7231503
1562416125,/archive/allData/6/MOD13A3/2000/245/MOD13A3.A2000245.h27v04.006.2015139075509.hdf,12895561
1562416619,/archive/allData/6/MOD13A3/2000/245/MOD13A3.A2000245.h24v03.006.2015139081404.hdf,20654305
1562416620,/archive/allData/6/MOD13A3/2000/245/MOD13A3.A2000245.h25v03.006.2015139080216.hdf,16461486
1562416722,/archive/allData/6/MOD13A3/2000/245/MOD13A3.A2000245.h22v03.006.2015139080216.hdf,20742509
